Category,Q,Components (Full Spelling & Acronym),Detailed Component Description,Zero-Trust Architecture (ZTA) Technical Guidance & Enforcement
T0-SEC-01,Privileged Access,"Privileged Access Workstations (PAW), Society for Worldwide Interbank Financial Telecommunication (SWIFT) Terminals, Break-Glass Administration Consoles.","Hardened physical machines used solely for Tier-0 admin tasks (Active Directory, Cloud Root) or high-value payment authorization. No email or web access permitted.",Physical Air-Gap Logic: Enforce via dedicated network hardware. Mandate FIDO2 Hardware Keys. No local admin rights. Full Video/Session Recording.
T0-MGT-02,Infrastructure Management,"Integrated Dell Remote Access Controllers (iDRAC), Integrated Lights-Out (iLO), Serial Consoles, KVM-over-IP.",Out-of-Band (OOB) hardware controllers built into server motherboards allowing low-level power/BIOS control regardless of OS state.,Management Enclave: Physically separate management VRF. Enforce mTLS for device auth. ZTNA-only gateway with MFA at the firmware layer.
T0-HFT-03,High-Frequency Trading,"Field Programmable Gate Array (FPGA) Cards, Low-Latency Network Interface Cards (NIC), HFT Servers.","Specialized hardware designed for microsecond trade execution, typically located in co-location facilities (e.g., Equinix).",Firmware Attestation: Hardware Root of Trust (RoT) monitoring. Secure Boot must be enabled. Physical chassis intrusion sensors wired to SOC alerts.
T1-TRD-04,Market Access,"Trader Workstations, Bloomberg Terminals, Execution Management Systems (EMS), Order Management Systems (OMS).",High-performance trading rigs used for market liquidity access and regulatory-mandated portfolio compliance tracking.,Micro-segmentation: Kernel-level EDR/XDR with low-latency exclusions. Restricted USB (Human Interface Device only). FIX Protocol deep-packet inspection at host.
T1-OPS-05,Retail Operations,"Automated Teller Machines (ATM), Video Teller Machines (VTM), Cash Deposit Machines (CDM), Cash Recyclers, Kiosks, Teller Terminals.",Customer-facing transaction hardware and branch-based cash handling systems. Usually running Windows IoT or LTSC versions.,"Hardened Kiosk: Full Disk Encryption (FDE). UEFI Password protection. Application Whitelisting (e.g., AppLocker/Deny-All) for specific bank executables."
T1-EUC-06,End User Computing Scripts,"Visual Basic for Applications (VBA) Macros, Python and R Scripts, Power Automate Flows, Structured Query Language (SQL) Scripts.",Logic and automated scripts created by business users for financial modeling and reporting outside formal software development lifecycles (SDLC).,"Logic Integrity: Mandate Digital Code-signing for ""Critical"" models. Execute macros in isolated sandboxes. Automated scanning for PII in local script output."
T1-RPA-07,Automated Operations,"Robotic Process Automation (RPA) Bots, Unattended Service Accounts, Programmable Logic Controllers (PLC).","Software ""bots"" mimicking human interactions to process transactions across legacy systems.",Identity-First Security: Assign unique Non-Human Identities (NHI). Use JIT Credential Vaulting. Isolate Bot Runner runtime in restricted VPC.
T1-IR-08,Forensics and IR,"Forensic Recovery Evidence Devices (FRED), Malware Analysis Sandboxes, Air-Gapped Data Recovery Nodes.","Hardened, isolated endpoints used by the Security Operations Center (SOC) to investigate breaches and recover the bank's ""Golden Record.""","Forensic Isolation: Physically offline by default. Use hardware write-blockers for evidence disks. Sanitized, single-use media for all data transfers."
T2-WRK-09,Managed Workstations,"Corporate Laptops, Desktop Workstations.",Standard bank-issued Windows/macOS assets used by the general workforce for daily productivity.,Dynamic Posture: Conditional Access (Identity + Health + Location). Enforce Secure Enterprise Browser (SEB) for all SaaS/Web apps.
T2-MOB-10,Managed Mobile,"Corporate Smartphones, Corporate Tablets.",Bank-issued iOS/Android devices managed via Mobile Device Management (MDM).,Containerization: Enforce Managed Work Profiles. Mandate Biometric Unlock (FaceID/TouchID). Remote Enterprise Wipe capability.
T2-VRT-11,Virtual Computing,"Virtual Desktop Infrastructure (VDI), Cloud Personal Computers (Cloud PC), Thin Clients.","Compute instances where the desktop is streamed as pixels (e.g., Citrix, Azure Virtual Desktop).","Non-Persistence: Use non-persistent ""Gold Images."" Wiped upon logout. No local drive mapping or clipboard transfer for sensitive tiers."
