"Tier 0: Critical Infrastructure & Administration
Tier 1: Standard Employee & Productivity
Tier 2: Specialized & Transactional Systems
Tier 3: Facility & Support Infrastructure",,,,
,,,,
,,,,
Tier,Category,Description,Key Components,Security Architecture Pattern & Focus
0,1. Privileged Access (PAW),"Dedicated, hardened physical or virtual workstations used exclusively for administrative tasks on Tier 0 infrastructure.","Hardened Laptops, Yubikeys, Jump Hosts, Dedicated NICs.",Zero-Trust Isolation: Removing internet/email access; enforcing hardware-root-of-trust.
0,2. Electronic Communication Net (ECN),"Specialized endpoints and terminals used for high-frequency, low-latency financial instrument trading and market data feeds.","Trading Turrets, Bloomberg/Refinitiv Terminals, Direct Exchange Feeds.",Micro-segmentation: Protecting trading integrity via network isolation and PTP time-security.
1,3. Employee Managed Devices,Standard-issue hardware used by bank staff for day-to-day operations and internal data processing.,"Laptops (Windows/macOS), Mobile Devices (COPE/BYOD), Tablets, Monitors.",UEM + XDR Baseline: Unified policy enforcement and real-time behavioral telemetry.
1,4. Virtual Endpoints (VDI),"Centralized desktop environments hosted in the data center or cloud, decoupled from physical hardware.","Citrix, Azure Virtual Desktop (AVD), Thin Clients, Zero Clients.",Non-Persistence: Ephemeral instances that wipe session state and resident malware on logout.
1,5. Endpoint Services (SaaS),Cloud-delivered business productivity applications that house and process bank data.,"M365 (Teams, Outlook), SharePoint Online, OneDrive, SaaS Business Apps.","Conditional Access: Dynamic access based on device health, identity risk, and geolocation."
1,6. Web Browsers & Extensions,The primary software interface for the internet and SaaS; often the largest logical attack surface.,"Managed Edge/Chrome, Browser Extensions, Remote Browser Isolation (RBI).",Extension Governance: Risk-based allow-listing and sandboxing high-risk web traffic via RBI.
1,7. End User Computing (EUC),"User-developed logic, scripts, and models used for complex financial analysis and decision-making.","Excel VBA/Macros, Python/R scripts, Power Platform (Low-code/No-code).","Logic Integrity: Code signing and automated scanning for macros to prevent ""Shadow IT"" risks."
1,8. RPA & Bots,"Automated software agents and ""Bots"" that interact with banking systems as digital workers.","RPA Software Bots, Automated Service Agents, AI-driven Workers.",Secret Vaulting: Securely managing non-human credentials via PAM and least-privilege scoping.
2,9. Specialized & 3rd-Party Enclaves,Isolated environments for high-risk tasks like development or internal/contractor pentesting.,"In-house Red Team rigs, Contractor Laptops, Dev Sandboxes (Docker).","Authorized Exception Zones: High-monitoring zones that permit ""risky"" tools while containing them."
2,10. Branch & Transactional,Public or staff-facing terminals used specifically for customer financial transactions.,"ATM, VTM, CDM, Teller Terminals, Kiosks, PIN Pads.",Physical Resilience: Application Whitelisting (AppLocker) and physical port security.
2,11. Voice & Video Recording,Regulatory-mandated capture and storage systems for trading and advisory communications.,"Call Recording Servers, Voice Management, Compliance Archive Storage.",Immutability: WORM (Write Once Read Many) storage to ensure audit-proof non-repudiation.
3,12. Unified Communication,Systems facilitating real-time voice and video collaboration between staff and clients.,"IP Phones, Softphones, Video Conferencing (MTR/Zoom Rooms).",Media Encryption: Enforcing end-to-end encryption for media streams to prevent eavesdropping.
3,13. Enterprise IoT & OT,Networked non-PC devices used for building operations and physical security infrastructure.,"CCTV, NVR/DVR, Smart Lighting, HVAC Controllers, Meeting Room Panels.",Visibility (NAC): Dynamic device profiling and VLAN assignment to prevent lateral movement.
3,14. Imaging & Print Mgmt,Network-connected hardware used for the physical-to-digital (and vice versa) document lifecycle.,"Multi-function Devices (MFD), Scanners, Network Printers.",Data Hygiene: Secure release (MFA pull-printing) and automated HDD data shredding.
3,15. Removable Media,Portable storage interfaces that bridge the physical gap between systems.,"Encrypted USBs, Hardware Security Keys, External SD Cards.","DLP Policy: Global ""Deny"" policy with exception-based hardware-encrypted storage."
3,16. Digital Whiteboards,Large-format collaborative displays used for internal planning and strategy meetings.,"Smartboards (Surface Hub), Digital Signage, IPTV.",Session Hygiene: Automated account logout and local cache clearing post-meeting.
